WDPAID,NAME,HF_1993,HF_2009,Change_HF_1993_2009,Tree_area_2000,Loss_area_2001,Loss_area_2002,Loss_area_2003,Loss_area_2004,Loss_area_2005,Loss_area_2006,Loss_area_2007,Loss_area_2008,Loss_area_2009,Loss_area_2010,Loss_area_2011,Loss_area_2012,Forest_loss_2001_to_2012,Forest_gain_2001_to_2012,percent_forest_loss_2001_to_2012
197,Tikal National Park,2.8137,3.8172,1.0052,553.681042,0,0.012037128,0,0,0,0.01135922,0.026262548,0.072514818,0.026810629,0,0.013263358,0.155241125,0.317488825,0.054725795,0.057341466
2004,Dinosaur Provincial Park,2.4069,2.5069,0.1000,0.608024128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Nahanni National Park,0.6696,0.0830,-0.5085,2087.734284,0.652381636,1.727892836,0.14659905,4.687265272,3.63928313,4.244327312,17.93881631,13.04452388,0.051963623,2.069241825,0.282249818,1.380589126,49.86513382,3.846806758,2.388480861
2006,Simien National Park,5.6655,8.5928,2.9318,11.06803534,8.36E-04,0.007244971,0,0.005851698,0,0,0.008079872,0.002089829,0,0,0.001114673,0,0.025217062,0.222904826,0.227836844
2007,Sagarmatha National Park,6.2977,6.5094,0.2178,18.86790932,0,0,0.002028988,0.006218942,0,0,0.015986813,0,0,0,0,0,0.024234743,0.038062952,0.128444239
2008,Bialowieza Forest,12.5521,8.4507,-4.0991,1082.140281,0.984500228,1.501398035,1.242667655,7.735761857,1.954936998,1.021793894,1.830915296,0.493496279,1.176356484,3.414507655,1.515564121,0.753122384,23.62502089,5.16307005,2.183175445
2010,Ngorongoro Conservation Area,4.9972,5.4318,0.4318,1099.980262,11.30555255,0.739147559,0.618490353,0.449345092,0.509344439,0.472831893,0.725460014,0.816167839,0.110414075,1.102344149,0.280954112,0.105981835,17.23603391,29.40997499,1.56694029
2011,Grand Canyon National Park,5.1501,5.1104,-0.0311,390.2125511,2.17881032,0.692097762,5.357110209,16.96708315,2.843313037,0.049437793,1.565225121,0.473516764,0.857660966,5.117076118,1.624803222,0.428218341,38.1543528,0.475297204,9.777838435
2012,Everglades National Park,4.3375,3.4846,-0.8538,1160.914277,1.203124163,0.78814135,2.455057825,2.890485604,15.44910169,3.538971909,0.463675931,0.713974048,1.647516532,5.185845893,1.484788369,0.384162128,36.20484544,14.45131243,3.118649341
2013,Yellowstone National Park,1.3522,1.2616,-0.0918,3448.668505,43.4171057,32.24283462,14.64624036,21.59373375,3.255994369,1.351710719,23.28924804,30.05242476,7.09256407,15.21731545,20.47656198,4.370418901,217.0061527,328.5486051,6.292461929
2015,Natural and Cultural Heritage of the Ohrid region,14.6624,13.4509,-1.1849,159.2712086,0.143041253,0.048940951,0.038744173,0.332901385,0.441377645,0.667304329,0.671098917,0.502116524,0.685330638,0.841567279,0.725088527,0.835690283,5.933201904,1.774841292,3.725219364
2016,Plitvice Lakes National Park,5.5540,5.9625,0.4116,242.6690358,0.034311244,0.016752742,0.00929743,0.266500537,0.099171139,0.179901012,0.092131751,0.051654604,0.044311915,0.017759335,0,0.019102303,0.830894015,0.969628292,0.342398037
